,Unnamed: 0,name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date,planet_type,planet_radius,orbital_radius,orbital_period,eccentricity,solar_system_name,planet_discovery_method,planet_orbital_inclination,planet_density,host_mass
652,652,HD 20003 c,143.0,14.44 Earths,8.39,2019,Neptune-like,0.347 x Jupiter,0.1964 AU,33.9 days,0.1,HD 20003,Radial Velocity,,,0.88
653,653,HD 200964 b,237.0,1.599 Jupiters,6.48,2010,Gas Giant,1.21 x Jupiter,1.565 AU,1.7 years,0.09,HD 200964,Radial Velocity,,,1.39
654,654,HD 200964 c,237.0,1.214 Jupiters,6.48,2010,Gas Giant,1.22 x Jupiter,1.96 AU,2.3 years,0.24,HD 200964,Radial Velocity,,,1.39
655,655,HD 202206 c,150.0,17.9 Jupiters,8.08,2004,Gas Giant,1.08 x Jupiter,2.41 AU,3.5 years,0.22,HD 202206,Radial Velocity,7.7,,1.27
656,656,HD 202696 b,618.0,1.996 Jupiters,8.23,2019,Gas Giant,Unknown,1.566 AU,1.4 years,0.01,HD 202696,Radial Velocity,90.0,,1.91
657,657,HD 202696 c,618.0,1.864 Jupiters,8.23,2019,Gas Giant,Unknown,2.342 AU,2.6 years,0.03,HD 202696,Radial Velocity,90.0,,1.91
658,658,HD 202772 A b,480.0,1.017 Jupiters,8.227,2019,Gas Giant,1.545 x Jupiter,0.05208 AU,3.3 days,0.04,HD 202772 A,Transit,84.51,0.343,1.72
659,659,HD 203030 b,128.0,24.09 Jupiters,8.425,2006,Gas Giant,1.07 x Jupiter,487.1 AU,Infinity years,0.0,HD 203030,Imaging,,,
660,660,HD 203473 b,237.0,7.8 Jupiters,8.23,2018,Gas Giant,1.12 x Jupiter,2.73 AU,4.3 years,0.29,HD 203473,Radial Velocity,,,1.12
661,661,HD 2039 b,280.0,6.29 Jupiters,9.0,2002,Gas Giant,1.14 x Jupiter,2.2 AU,3.1 years,0.71,HD 2039,Radial Velocity,,,1.23
662,662,HD 204313 b,156.0,3.46 Jupiters,7.99,2010,Gas Giant,1.17 x Jupiter,3.07 AU,5.3 years,0.23,HD 204313,Radial Velocity,,,1.03
663,663,HD 204313 c,156.0,17.6 Earths,7.99,2015,Neptune-like,0.39 x Jupiter,0.2099 AU,34.9 days,0.16,HD 204313,Radial Velocity,,,1.03
664,664,HD 204941 b,94.0,0.23 Jupiters,8.45,2011,Gas Giant,0.903 x Jupiter,2.55 AU,4.7 years,0.37,HD 204941,Radial Velocity,,,0.58
665,665,HD 205739 b,303.0,1.37 Jupiters,8.56,2008,Gas Giant,1.21 x Jupiter,0.896 AU,279.8 days,0.27,HD 205739,Radial Velocity,,,1.22
666,666,HD 206255 b,246.0,34.2 Earths,7.617999999999999,2019,Neptune-like,0.577 x Jupiter,0.461 AU,96 days,0.23,HD 206255,Radial Velocity,,,1.42
667,667,HD 206610 b,482.0,2.036 Jupiters,8.34,2009,Gas Giant,1.19 x Jupiter,1.74 AU,1.8 years,0.1,HD 206610,Radial Velocity,,,1.55
668,668,HD 20781 b,115.0,1.93 Earths,8.48,2019,Super Earth,1.21 x Earth,0.0529 AU,5.3 days,0.1,HD 20781,Radial Velocity,,,0.7
669,669,HD 20781 c,115.0,5.33 Earths,8.48,2019,Neptune-like,2.17 x Earth,0.1004 AU,13.9 days,0.09,HD 20781,Radial Velocity,,,0.7
670,670,HD 20781 d,115.0,10.61 Earths,8.48,2019,Neptune-like,0.29 x Jupiter,0.1647 AU,29.2 days,0.11,HD 20781,Radial Velocity,,,0.7
671,671,HD 20781 e,115.0,14.03 Earths,8.48,2019,Neptune-like,0.342 x Jupiter,0.3374 AU,85.5 days,0.06,HD 20781,Radial Velocity,,,0.7
672,672,HD 20782 b,117.0,1.4878 Jupiters,7.4,2006,Gas Giant,1.21 x Jupiter,1.3649 AU,1.6 years,0.95,HD 20782,Radial Velocity,,,1.07
673,673,HD 207832 b,193.0,0.56 Jupiters,8.78,2012,Gas Giant,1.26 x Jupiter,0.586 AU,160.1 days,0.2,HD 207832,Radial Velocity,,,1.05
674,674,HD 207832 c,193.0,0.73 Jupiters,8.78,2012,Gas Giant,1.25 x Jupiter,2.112 AU,3.2 years,0.27,HD 207832,Radial Velocity,,,1.05
675,675,HD 20794 b,20.0,2.7 Earths,4.27,2011,Super Earth,1.45 x Earth,0.1207 AU,18.3 days,0.0,HD 20794,Radial Velocity,90.0,,0.7
676,676,HD 20794 c,20.0,2.4 Earths,4.27,2011,Super Earth,1.35 x Earth,0.2036 AU,40.1 days,0.0,HD 20794,Radial Velocity,90.0,,0.7
677,677,HD 20794 d,20.0,4.8 Earths,4.27,2011,Super Earth,2.04 x Earth,0.3499 AU,90.3 days,0.0,HD 20794,Radial Velocity,90.0,,0.7
678,678,HD 20794 e,20.0,4.77 Earths,4.27,2017,Super Earth,2.03 x Earth,0.509 AU,147 days,0.29,HD 20794,Radial Velocity,,,0.7
679,679,HD 208487 b,144.0,0.52 Jupiters,7.471,2004,Gas Giant,1.27 x Jupiter,0.524 AU,130.1 days,0.24,HD 208487,Radial Velocity,,,1.13
680,680,HD 208527 b,1026.0,9.9 Jupiters,6.4,2012,Gas Giant,1.11 x Jupiter,2.1 AU,2.4 years,0.08,HD 208527,Radial Velocity,,,1.6
681,681,HD 20868 b,156.0,1.25 Jupiters,9.92,2008,Gas Giant,1.22 x Jupiter,0.95 AU,380.9 days,0.75,HD 20868,Radial Velocity,,,0.39
682,682,HD 208897 b,211.0,1.4 Jupiters,6.51,2017,Gas Giant,1.21 x Jupiter,1.05 AU,352.7 days,0.07,HD 208897,Radial Velocity,,,1.25
683,683,HD 209458 b,158.0,0.73 Jupiters,7.632000000000001,1999,Gas Giant,1.39 x Jupiter,0.04707 AU,3.5 days,0.0,HD 209458,Radial Velocity,86.71,,1.23
684,684,HD 210193 b,138.0,0.4817 Jupiters,7.822999999999999,2019,Gas Giant,1.27 x Jupiter,1.487 AU,1.8 years,0.24,HD 210193,Radial Velocity,,,1.04
685,685,HD 210277 b,70.0,1.29 Jupiters,6.53,1998,Gas Giant,1.22 x Jupiter,1.13 AU,442.2 days,0.48,HD 210277,Radial Velocity,,,1.01
686,686,HD 210702 b,177.0,1.808 Jupiters,5.93,2007,Gas Giant,1.2 x Jupiter,1.148 AU,354.1 days,0.03,HD 210702,Radial Velocity,,,1.61
687,687,HD 211810 b,211.0,0.67 Jupiters,8.59,2018,Gas Giant,1.25 x Jupiter,2.656 AU,4.3 years,0.68,HD 211810,Radial Velocity,,,1.03
688,688,HD 211970 b,42.0,13 Earths,8.99,2019,Neptune-like,0.327 x Jupiter,0.143 AU,25.2 days,0.15,HD 211970,Radial Velocity,,,0.61
689,689,HD 212301 b,177.0,0.51 Jupiters,7.763999999999999,2005,Gas Giant,1.27 x Jupiter,0.03 AU,2.2 days,0.0,HD 212301,Radial Velocity,,,1.55
